person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22,male,Bachelor,78745,0,RENT,9600,MEDICAL,11.97,0.12,2,623,Yes,0
26,male,Bachelor,79943,7,MORTGAGE,7000,DEBTCONSOLIDATION,9.63,0.09,2,624,No,0
24,male,Associate,79471,1,RENT,9600,DEBTCONSOLIDATION,8.49,0.12,2,651,No,0
23,male,Associate,91653,0,MORTGAGE,25000,DEBTCONSOLIDATION,11.12,0.27,4,624,No,0
24,male,High School,92020,2,MORTGAGE,15000,PERSONAL,10.38,0.16,2,608,Yes,0
22,,Associate,91732,0,MORTGAGE,6700,VENTURE,11.83,0.07,2,602,Yes,0
25,male,Associate,101670,3,RENT,10000,DEBTCONSOLIDATION,11.01,0.1,4,568,Yes,0
25,male,Bachelor,101952,5,RENT,10000,HOMEIMPROVEMENT,13.49,0.1,2,713,Yes,0
23,male,Bachelor,101542,0,RENT,10000,DEBTCONSOLIDATION,5.99,0.1,2,667,No,0
23,,High School,101527,0,RENT,10000,VENTURE,7.49,0.1,4,538,No,0
26,male,Associate,91870,3,MORTGAGE,1200,PERSONAL,10.25,0.01,2,662,No,0
23,male,High School,92517,0,MORTGAGE,3000,MEDICAL,11.03,0.03,4,659,Yes,0
25,male,Bachelor,92187,4,MORTGAGE,22400,HOMEIMPROVEMENT,9.99,0.24,4,680,Yes,0
25,female,Associate,92196,3,MORTGAGE,10000,DEBTCONSOLIDATION,11.99,0.11,3,573,Yes,0
26,,High School,72265,3,OWN,7000,MEDICAL,17.88,0.1,2,640,No,0
23,male,High School,92326,4,MORTGAGE,15000,MEDICAL,10.62,0.16,2,590,No,0
25,female,Associate,92527,1,MORTGAGE,9000,MEDICAL,7.74,0.1,3,591,Yes,0
26,female,Master,91993,3,OWN,8000,VENTURE,11.83,0.09,3,574,Yes,0
23,male,Master,96024,3,RENT,10000,HOMEIMPROVEMENT,13.99,0.1,3,694,No,0
24,male,Bachelor,103144,1,RENT,10000,HOMEIMPROVEMENT,15.21,0.1,4,655,Yes,0
21,,Bachelor,92076,1,MORTGAGE,14000,MEDICAL,12.69,0.15,3,649,Yes,0
23,male,Bachelor,92232,1,MORTGAGE,3600,MEDICAL,10.65,0.04,3,698,Yes,0
24,female,Associate,92305,0,MORTGAGE,6000,DEBTCONSOLIDATION,8.9,0.07,3,645,Yes,0
24,female,Bachelor,91953,0,MORTGAGE,12000,PERSONAL,6.03,0.13,2,462,Yes,0
22,,Associate,88591,0,RENT,10000,PERSONAL,18.25,0.11,2,668,No,0
24,female,,,3,MORTGAGE,13500,VENTURE,8.49,0.15,4,692,No,0
24,male,Master,92126,3,MORTGAGE,13500,DEBTCONSOLIDATION,9.99,0.15,3,636,No,0
